DATAFLOW,LAST UPDATE,freq,frequenc,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,HR,2014,1.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,HU,2014,0.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,IE,2014,9.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,IS,2014,1.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,IT,2014,0.6,d
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,LT,2014,0.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,LU,2014,3.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,LV,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,MT,2014,2.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,NO,2014,1.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,PL,2014,1.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,PT,2014,0.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,RO,2014,1.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,SE,2014,2.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,SI,2014,0.8,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,SK,2014,0.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,TR,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,TOTAL,PC,UK,2014,4.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,AT,2014,1.3,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,BE,2014,2.3,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,BG,2014,0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,CY,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,CZ,2014,,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,DE,2014,9.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,DK,2014,5.0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,EE,2014,0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,EL,2014,0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,ES,2014,1.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,EU28,2014,3.6,e
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,FI,2014,8.6,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,HR,2014,0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,HU,2014,0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,IE,2014,,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,IS,2014,1.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,IT,2014,0,d
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,LT,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,LU,2014,,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,LV,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,MT,2014,6.9,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,NO,2014,3.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,PL,2014,1.0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,PT,2014,0.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,RO,2014,0.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,SE,2014,6.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,SI,2014,5.2,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,SK,2014,0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,TR,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-19,PC,UK,2014,5.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,AT,2014,3.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,BE,2014,5.0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,BG,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,CY,2014,0.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,CZ,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,DE,2014,9.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,DK,2014,10.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,EE,2014,1.4,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,EL,2014,1.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,ES,2014,1.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,EU27_2020,2014,4.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,EU28,2014,4.3,e
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,FI,2014,12.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,HR,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,HU,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,IE,2014,19.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,IS,2014,5.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,IT,2014,1.2,d
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,LT,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,LU,2014,9.7,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,LV,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,MT,2014,8.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,NO,2014,3.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,PL,2014,4.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,PT,2014,0.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,RO,2014,0.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,SE,2014,5.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,SI,2014,4.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,SK,2014,1.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,TR,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-24,PC,UK,2014,4.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,AT,2014,2.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,BE,2014,4.0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,BG,2014,0.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,CY,2014,0.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,CZ,2014,0.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,DE,2014,7.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,DK,2014,8.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,EE,2014,0.8,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,EL,2014,0.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,ES,2014,2.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,EU27_2020,2014,3.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,EU28,2014,4.0,e
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,FI,2014,9.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,HR,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,HU,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,IE,2014,15.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,IS,2014,3.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,IT,2014,1.4,d
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,LT,2014,0.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,LU,2014,5.8,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,LV,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,MT,2014,5.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,NO,2014,3.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,PL,2014,2.8,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,PT,2014,1.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,RO,2014,0.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,SE,2014,3.8,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,SI,2014,3.0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,SK,2014,1.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,TR,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-29,PC,UK,2014,4.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,AT,2014,1.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,BE,2014,4.2,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,BG,2014,0.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,CY,2014,0.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,CZ,2014,0.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,DE,2014,6.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,DK,2014,6.4,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,EE,2014,0.5,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,EL,2014,0.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,ES,2014,1.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,EU27_2020,2014,2.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,EU28,2014,3.2,e
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,FI,2014,6.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,HR,2014,1.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,HU,2014,0.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,IE,2014,10.0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,IS,2014,1.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,IT,2014,0.7,d
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,LT,2014,0.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,LU,2014,4.0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,LV,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,MT,2014,3.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,NO,2014,1.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,PL,2014,1.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,PT,2014,0.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,RO,2014,1.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,SE,2014,2.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,SI,2014,0.8,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,SK,2014,0.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,TR,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y15-64,PC,UK,2014,5.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,AT,2014,4.0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,BE,2014,6.8,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,BG,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,CY,2014,0.8,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,CZ,2014,0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,DE,2014,10.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,DK,2014,12.0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,EE,2014,1.8,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,EL,2014,1.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,ES,2014,1.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,EU27_2020,2014,5.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,EU28,2014,5.1,e
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,FI,2014,14.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,HR,2014,0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,HU,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,IE,2014,24.4,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,IS,2014,7.6,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,IT,2014,1.6,d
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,LT,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,LU,2014,13.0,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,LV,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,MT,2014,9.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,NO,2014,4.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,PL,2014,5.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,PT,2014,1.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,RO,2014,0.5,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,SE,2014,8.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,SI,2014,4.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,SK,2014,1.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,TR,2014,0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-24,PC,UK,2014,5.0,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,AT,2014,1.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,BE,2014,3.3,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,BG,2014,1.1,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,CY,2014,0.2,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,CZ,2014,0.3,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,DE,2014,5.7,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,DK,2014,6.9,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,EE,2014,0.8,u
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,EL,2014,0.8,
ESTAT:HLTH_EHIS_AL3U(1.0),21/03/19 23:00:00,A,GE1W,DEG1,F,Y18-44,PC,ES,2014,1.8,
